"date","FL152090005.Q","FL152090006.Q","FL152000005.Q","FL152000006.Q","FL154190005.Q","FL154190006.Q","LM152010005.Q","LM152010006.Q","FL154090005.Q","FL154090006.Q","FL153165105.Q","FL153165106.Q","FL153166000.Q","FL153166006.Q","FL154199005.Q","FL154199006.Q","LM155035015.Q","LM155035016.Q","LM155111005.Q","LM155111006.Q","LM162010005.Q","LM162010006.Q","FL154000025.Q","FL154000026.Q","LM153064105.Q","LM153064106.Q","LM153064175.Q","LM153064176.Q","FL594190045.Q","FL594190046.Q","LM152090205.Q","LM152090206.Q","FL153099005.Q","FL153099006.Q","FC152090005.Q","FC153064475.Q","FC155035005.Q","FC152090045.Q","FA156012005.Q"
"2016:Q1", 90026214,641.82,104575198,745.55,14548984,103.72,30305048,216.05,74270150,529.49, 9586180,68.34,3420930,24.39,1541873,10.99,21901596,156.14,5053181,36.03,3350271,23.89,11345034,80.88,13407593, 95.59, 9451709,67.38,14556428,103.78,10918674, 77.84,14590711,104.02,  479844,   10996,  253444, 215405,14026668
"2015:Q4", 89546370,643.06,104092280,747.52,14545910,104.46,29999767,215.44,74092513,532.08, 9583130,68.82,3413612,24.51,1549168,11.13,21587306,155.03,5005802,35.95,3406659,24.46,11243483,80.74,13365407, 95.98, 9482899,68.10,14469549,103.91,10862698, 78.01,14668477,105.34, 1999031,  967160,  359946, 671925,13925039
"2015:Q3", 87547339,629.87,102066794,734.33,14519455,104.46,29602927,212.98,72463867,521.35, 9517723,68.48,3478539,25.03,1523193,10.96,21240660,152.82,4973120,35.78,3389147,24.38,10894784,78.38,12804518, 92.12, 9076629,65.30,14381233,103.47,10708882, 77.05,14597822,105.03, -988714,-2080988,  399527, 692747,13899285
"2015:Q2", 88536053,644.29,102990017,749.47,14453964,105.18,29162066,212.22,73827951,537.25, 9473942,68.94,3394796,24.70,1585226,11.54,20901623,152.10,4937576,35.93,3322867,24.18,10725650,78.05,14044655,102.20, 9917480,72.17,14294242,104.02,10487352, 76.32,14358572,104.49,  615352,  -58710,  326418, 347645,13741746
"2015:Q1", 87920700,647.85,102234245,753.32,14313545,105.47,28773068,212.02,73461177,541.30, 9434663,69.52,3319710,24.46,1559172,11.49,20610796,151.87,4882298,35.98,3279974,24.17,10811195,79.66,14149960,104.26, 9870885,72.73,14205394,104.67,10291893, 75.84,14131850,104.13, 1715171,  588860,  439466, 686845,13571233
"2014:Q4", 86205529,640.18,100541996,746.65,14336467,106.47,28302747,210.18,72239249,536.46, 9464474,70.29,3314567,24.61,1557426,11.57,20316476,150.87,4860528,36.10,3125743,23.21,10657521,79.15,13814361,102.59, 9617624,71.42,14115034,104.82,10016963, 74.39,14017747,104.10, 1874834,  819928,  442565, 612342,13465790
"2014:Q3", 84330695,633.29, 98592157,740.38,14261462,107.10,27836688,209.04,70755469,531.34, 9452486,70.98,3246127,24.38,1562849,11.74,19975398,150.01,4843384,36.37,3017906,22.66,10344411,77.68,13238261, 99.41, 9373796,70.39,14009788,105.21, 9693137, 72.79,14096076,105.86,  369008, -467788,  357659, 479138,13316341
"2014:Q2", 83961686,639.39, 98113665,747.16,14151978,107.77,27439901,208.96,70673764,538.20, 9442214,71.90,3167475,24.12,1542289,11.74,19678765,149.86,4810601,36.63,2950535,22.47,10254047,78.09,13548812,103.18, 9531034,72.58,13903213,105.88, 9400799, 71.59,14035859,106.89, 1353845, 1081761,  223597,  48488,13131528
"2014:Q1", 82607841,639.78, 96625286,748.34,14017445,108.56,27184098,210.54,69441188,537.81, 9448785,73.18,3100078,24.01,1468582,11.37,19518680,151.17,4784529,37.06,2880889,22.31,10252077,79.40,12837129, 99.42, 9160956,70.95,13796090,106.85, 9257905, 71.70,14137031,109.49, 1175038,  641545,  247793, 285701,12911888
"2013:Q4", 81432803,643.31, 95485826,754.32,14053023,111.02,26925229,212.70,68560597,541.62, 9483011,74.91,3093386,24.44,1476626,11.67,19253848,152.10,4779573,37.76,2891808,22.84,10123855,79.98,12380727, 97.81, 8975814,70.91,13691478,108.16, 9229674, 72.91,14159049,111.85, 2925511, 1545496,  469284, 910731,12658500
"2013:Q3", 78507292,625.18, 92477222,736.43,13969930,111.25,26437021,210.53,66040201,525.90, 9497661,75.63,3033034,24.15,1439235,11.46,18846508,150.08,4768937,37.98,2821576,22.47, 9916121,78.97,11547208, 91.95, 8263837,65.81,13341038,106.24, 8956887, 71.33,14015111,111.61, 2667795, 1202440,  575999, 889356,12557546
"2013:Q2", 75839496,609.00, 89730267,720.54,13890770,111.54,25840019,207.50,63890248,513.05, 9486753,76.18,2962257,23.79,1441760,11.58,18375933,147.56,4755644,38.19,2708442,21.75, 9743081,78.24,10894239, 87.48, 7714365,61.95,12991177,104.32, 8621506, 69.23,13925879,111.83, 1806893,  352231,  601497, 853166,12453127
"2013:Q1", 74032603,599.36, 87913829,711.75,13881226,112.38,25225811,204.23,62688018,507.52, 9520335,77.08,2919236,23.63,1441655,11.67,17873180,144.70,4750954,38.46,2601677,21.06, 9745636,78.90,10676578, 86.44, 7579796,61.37,12641985,102.35, 8307425, 67.26,13736598,111.21, 3104318, 1848005,  495707, 760606,12351871
"2012:Q4", 70928285,553.21, 84850427,661.80,13922142,108.59,24699475,192.65,60150952,469.15, 9566631,74.62,2918258,22.76,1437253,11.21,17411620,135.80,4727486,36.87,2560369,19.97, 9714186,75.77, 9468453, 73.85, 6939916,54.13,12289619, 95.85, 8134623, 63.45,13604155,106.11, 1203406,  140050,  367409, 695946,12821214
"2012:Q3", 69724879,562.03, 83599311,673.86,13874431,111.84,24297813,195.86,59301498,478.01, 9616217,77.51,2854923,23.01,1403291,11.31,17054322,137.47,4700734,37.89,2542757,20.50, 9322091,75.14, 9395750, 75.74, 6872568,55.40,12208824, 98.41, 7969528, 64.24,13532736,109.08, 1915287,  898155,  416982, 600150,12405969
"2012:Q2", 67809592,544.23, 81641646,655.25,13832053,111.01,23860817,191.50,57780829,463.74, 9660202,77.53,2795274,22.43,1376577,11.05,16707241,134.09,4689094,37.63,2464482,19.78, 9278144,74.47, 8859632, 71.11, 6510531,52.25,12122845, 97.30, 7682349, 61.66,13327328,106.96,  148830, -708190,  425229, 431791,12459683
"2012:Q1", 67660763,549.29, 81524611,661.84,13863848,112.55,23418216,190.12,58106395,471.72, 9718900,78.90,2746165,22.29,1398783,11.36,16300151,132.33,4679040,37.99,2439025,19.80, 9234112,74.96, 9241471, 75.02, 6836883,55.50,12035711, 97.71, 7508505, 60.96,13249714,107.56, 2329701, 1791393,  217752, 320557,12317916
"2011:Q4", 65331061,544.01, 79238400,659.82,13907338,115.81,23157677,192.83,56080723,466.98, 9777796,81.42,2757073,22.96,1372469,11.43,16116287,134.20,4644698,38.68,2396692,19.96, 9254835,77.06, 8230575, 68.54, 6056386,50.43,11943311, 99.45, 7392434, 61.56,13203182,109.94, 1574370, 1077983,   76993, 419394,12009159
"2011:Q3", 63756691,534.37, 77653756,650.85,13897064,116.48,23057570,193.26,54596186,457.59, 9825060,82.35,2702913,22.65,1369091,11.47,16107609,135.00,4630629,38.81,2319332,19.44, 9012860,75.54, 7597012, 63.67, 5611966,47.04,11848453, 99.31, 7209195, 60.42,13316699,111.61,-2232621,-2724120,   58699, 432799,11931146
"2011:Q2", 65989312,558.19, 79940289,676.20,13950976,118.01,22968890,194.29,56971399,481.91, 9877316,83.55,2653479,22.45,1420181,12.01,16028644,135.58,4609049,38.99,2331197,19.72, 8947577,75.69, 9186252, 77.71, 6746846,57.07,11756452, 99.45, 7096887, 60.03,13237385,111.97,  370871,  -92035,  -28788, 491694,11821927
"2011:Q1", 65618442,559.31, 79617566,678.63,13999124,119.32,22947983,195.60,56669583,483.03, 9938279,84.71,2628601,22.41,1432244,12.21,16081141,137.07,4568240,38.94,2298602,19.59, 8731521,74.42, 9258139, 78.91, 6766994,57.68,11661290, 99.40, 6988898, 59.57,13262741,113.05, 1228417,  956743, -116480, 388154,11732112
"2010:Q4", 64390024,559.27, 78426389,681.19,14036364,121.92,23023848,199.98,55402541,481.21, 9993502,86.80,2646811,22.99,1396051,12.13,16226211,140.94,4535441,39.39,2262196,19.65, 8668633,75.29, 8688189, 75.46, 6380201,55.42,11566272,100.46, 6909513, 60.01,13189734,114.56, 2301928, 1466876, -130562, 965614,11513141
"2010:Q3", 62088096,545.59, 76109791,668.80,14021694,123.21,23129740,203.25,52980051,465.55,10166235,89.33,2503855,22.00,1351604,11.88,16380707,143.94,4520281,39.72,2228752,19.58, 8562144,75.24, 7811835, 68.64, 5789678,50.88,11351511, 99.75, 6762475, 59.42,12702407,111.62, 1534770, 1539658, -287071, 282183,11380056
"2010:Q2", 60553326,536.83, 74636355,661.69,14083028,124.85,23419804,207.63,51216551,454.06,10244605,90.82,2478452,21.97,1359971,12.06,16691793,147.98,4530808,40.17,2197203,19.48, 8504090,75.39, 6892418, 61.10, 5169437,45.83,11135727, 98.72, 6599182, 58.50,12915697,114.50, -956541,-1344141,   10258, 377342,11279729
"2010:Q1", 61509867,554.92, 75653832,682.53,14143964,127.60,23422594,211.31,52231238,471.21,10312312,93.03,2493129,22.49,1338523,12.08,16801822,151.58,4550703,41.06,2070069,18.68, 8622422,77.79, 7602107, 68.58, 5803888,52.36,10923997, 98.55, 6324706, 57.06,12954117,116.87,  971392,  581595,  -44123, 433920,11084386
"2009:Q4", 60538475,551.11, 74816971,681.09,14278495,129.98,23473860,213.69,51343111,467.40,10442797,95.06,2555017,23.26,1280681,11.66,16796447,152.90,4560020,41.51,2117393,19.28, 8828088,80.37, 7325332, 66.69, 5499069,50.06,10710360, 97.50, 6339228, 57.71,12641034,115.08,  750434,  430779,   57180, 262475,10984918
"2009:Q3", 59788041,548.35, 74071156,679.34,14283115,131.00,23381591,214.44,50689565,464.90,10491304,96.22,2558788,23.47,1233023,11.31,16735332,153.49,4530910,41.56,2115349,19.40, 8727437,80.04, 7178277, 65.84, 5215344,47.83,10619151, 97.39, 6369623, 58.42,12579733,115.37, 1304554, 1842994, -100480,-437959,10903352
"2009:Q2", 58483487,533.98, 72761483,664.34,14277996,130.36,23494125,214.51,49267358,449.83,10548316,96.31,2548869,23.27,1180811,10.78,16660571,152.12,4547974,41.52,2285580,20.87, 8951971,81.73, 6098212, 55.68, 4452416,40.65,10525930, 96.11, 6638984, 60.62,12599846,115.04,  744564, 1879244, -273893,-860787,10952435
"2009:Q1", 57738923,535.24, 72037493,667.78,14298570,132.55,23766157,220.31,48271336,447.47,10578244,98.06,2578179,23.90,1142147,10.59,16671397,154.54,4551280,42.19,2543480,23.58, 9072519,84.10, 4967240, 46.05, 3704143,34.34,10434164, 96.72, 7104456, 65.86,12988814,120.41,-1256959,-1137434, -601876, 482350,10787538
