,Investimento residencial,Preço dos imóveis,Taxa de juros,Duráveis,Crédito,gDuráveis,gCrédito,Inflação,gZ,Taxa Própria,Crise
1994-12-31,325.435,1.2350977241365033,0.0653722370205341,631.83,13.308713333333335,0.14896176155665083,6.0130898705456035,0.028654763988021126,0.07601080154328807,0.035694651225997465,0
1995-03-31,321.78700000000003,1.2405304267492077,0.06375241322405491,621.252,12.110113333333333,0.06785679811125761,2.111282831727684,0.024920488294922438,0.02110960554585345,0.03788774385194893,0
1995-06-30,313.45099999999996,1.2436370289048657,0.05916446151670333,626.914,11.915270000000001,0.056271000834642385,0.12139018075560815,0.020539348047728275,-0.037688575370267846,0.03784774545230829,0
1995-09-30,326.393,1.2498296936977973,0.05794542616434656,642.543,12.411589999999999,0.06706647280216146,0.19709726483229884,0.01817987734791188,-0.00010411753034575549,0.03905552417713598,0
1995-12-31,334.645,1.257501203814414,0.05593900422167288,652.242,11.377229999999999,0.03648957888963886,-0.09023409699998813,0.01941760967541767,0.031482835365428105,0.03582574422849505,0
1996-03-31,344.725,1.2634165851091546,0.05555686710337979,659.825,10.3133,0.07859445784072114,-0.09140007871449661,0.019772182353736685,0.09349030514852487,0.03509086183057897,0
1996-06-30,361.399,1.272633693984206,0.0601652407709541,676.332,9.755249999999998,0.10644755103497965,-0.10194661525874368,0.025452576431284867,0.27617955245495746,0.033851067457915995,0
1996-09-30,364.315,1.2803616877763804,0.060405063923679954,679.382,8.107246666666667,0.07125836837493271,-0.1320135810407391,0.026780023821795135,0.18149219972470487,0.03274804663293729,0
1996-12-31,361.806,1.28743241698025,0.05798382321787891,689.6410000000001,9.388440000000001,0.07126749823445151,-0.10004247143543783,0.02603107815146737,0.11059949598382013,0.03114208306826205,0
1997-03-31,365.35900000000004,1.2973735438783558,0.05848120459941598,705.591,3.5697499999999995,0.09029601674325165,-0.14855485374926386,0.029738325645200958,0.07511985299615702,0.027912799046501124,0
1997-06-30,372.277,1.307607358913441,0.059214824070684666,696.587,6.237393333333333,0.033524805250100986,-0.13345101092258532,0.03047662491321002,0.03371364101752893,0.02788825914405879,0
1997-09-30,378.952,1.3188373405901748,0.05668026764968476,722.779,6.258816666666667,0.08141665349759956,-0.11361496008633322,0.033652392751206524,0.04675993291255627,0.02227816145927597,0
1997-12-31,385.754,1.334832490532116,0.05517283074422428,737.1610000000001,7.7074533333333335,0.08954556634560584,-0.10129895500036533,0.042305076587934795,0.08512040519373916,0.012345477773564317,0
1998-03-31,394.846,1.3564195243542432,0.054273776709471026,737.702,2.7153733333333334,0.054056124001861536,-0.11597702360101206,0.05405970475948204,0.1097825618533768,0.00020309281250607825,0
1998-06-30,411.33,1.377030931053105,0.054550827141721,769.238,13.679623333333334,0.15551313337450512,91.42113981381699,0.06492129895518503,0.15679049781846724,-0.009738251853577129,0
1998-09-30,427.55,1.3989209227714026,0.05323285826268961,785.044,7.782466666666667,0.11968238855942294,0.6295900723117471,0.07646176348686369,0.21003859676129052,-0.021578941316904077,0
1998-12-31,441.50300000000004,1.420816049369297,0.05259331405826455,825.189,7.902236666666667,0.1889149722807226,0.02779291464901201,0.0822728983742633,0.2523660107067633,-0.02742338310474368,0
1999-03-31,447.36300000000006,1.443840849478339,0.053263470076971665,819.948,9.960793333333333,0.1709830504288804,7148.564089471981,0.0823284217065899,0.22195954972955617,-0.02685409626755364,0
1999-06-30,459.27,1.469551191616157,0.05503552924692227,854.805,9.478833333333332,0.17042527050958212,-0.1272048396159791,0.08673721111704374,0.18231999654015707,-0.02917143311724435,0
1999-09-30,466.625,1.4981473360869992,0.05844306158442884,871.191,10.581313333333334,0.16714126031058582,1.4755647755003216,0.09290136545418577,0.12958734502095798,-0.031529198296350036,0
1999-12-31,473.806,1.5282069212427387,0.05874313774106834,876.329,6.6822366666666655,0.07841344287597156,-0.09349776279022565,0.10079354340590438,0.09666065232993044,-0.038200083854716516,0
2000-03-31,484.24300000000005,1.5611317692131175,0.06099300462581569,920.875,10.11491,0.19755692761592628,0.01639721195382237,0.11072804103133485,0.11289392233978761,-0.0447769702107631,0
2000-06-30,486.61300000000006,1.5970861961452127,0.06130762683716318,901.931,16.03244666666667,0.06794371851879119,10.014755587553223,0.1208686170012774,0.07462536920231821,-0.05313824409096313,0
2000-09-30,483.08,1.6296259281458823,0.05972073882121097,911.658,16.11759,0.05537254804723522,4.054300465498003,0.1226920168425689,0.04028086531584647,-0.05608953931858973,0
2000-12-31,487.792,1.6679013206554276,0.057526052519541654,915.823,15.989633333333336,0.05344097657858124,191.41356114980132,0.12962163525096082,0.032989689403120796,-0.0638227708124609,0
2001-03-31,496.716,1.7020534048492817,0.054022693136407736,926.811,14.52404,0.006603460277488484,2.4123995356434067,0.12743521931760332,0.028379171298623572,-0.06511462913641242,0
2001-06-30,511.00800000000004,1.7284826301305578,0.0547379501663193,919.4789999999999,10.60875,0.020931243838731437,-0.1310720647192629,0.11259397480214965,0.060610273882874106,-0.05200102278651908,0
2001-09-30,522.446,1.758593564082258,0.053770805034871916,923.888,7.294763333333333,0.014107301974448155,-0.14535025843415814,0.10699818382972216,0.11118419334453386,-0.048082625222299114,0
2001-12-31,522.064,1.7849817103267651,0.05263184489882405,995.882,17.86683,0.12204922399498237,0.18426750033809666,0.09167892053593704,0.09178390328375989,-0.03576791206881924,0
2002-03-31,538.339,1.816150429475268,0.05381584418773435,976.2489999999999,8.94582,0.065289577805178,-0.13565629385037292,0.08648814254826107,0.11535947879471518,-0.030071472555509682,0
2002-06-30,554.846,1.8596479945340763,0.05288281899387846,977.3969999999999,10.830216666666667,0.08001195895128382,0.022579494181889433,0.10131247446537772,0.11901687967584142,-0.04397449097723982,0
2002-09-30,558.88,1.9076129048415174,0.04971883612722716,1001.72,7.8234699999999995,0.11617737299187794,0.09549663662318959,0.11708264527916039,0.0909183138115638,-0.060303335153057525,0
2002-12-31,578.313,1.9513518092413442,0.048391215861990786,986.105,7.153606666666666,-0.009467094877141825,-0.1471203428197125,0.1330933733737094,0.1628339046870771,-0.07475302521585103,0
2003-03-31,601.444,1.9921792369101663,0.046909974080229934,974.533,9.698646666666667,-0.0017462620913918417,0.1160127830096298,0.14042320754644483,0.18385705361571061,-0.08199871139715176,0
2003-06-30,612.0319999999999,2.0296895323598885,0.04475673225530385,1007.819,10.686756666666666,0.03499871803208597,-0.012614502219291682,0.12967321662507175,0.1529441305666744,-0.07516906935570122,0
2003-09-30,651.745,2.0798367664956836,0.048130857976480305,1041.776,7.94079,0.04650568886886403,0.015863805284167788,0.1274609761774569,0.31607580893366033,-0.07036174189366384,0
2003-12-31,683.107,2.1387543749816684,0.04740859199459996,1047.0739999999998,6.756633333333333,0.0781854065946115,-0.045578683367026446,0.1386582506666751,0.36587192096168913,-0.08013788036809932,0
2004-03-31,706.197,2.207572031328989,0.045346290799733596,1064.229,10.786546666666666,0.1308340842634493,0.17248633457531645,0.1636419488715783,0.34198399367748095,-0.10165984320740584,0
2004-06-30,743.16,2.283142054345219,0.04858355184621533,1065.972,6.089693333333333,0.07181832567325411,-0.13925838539197793,0.2018270694617338,0.49329864353136066,-0.12750879182988628,0
2004-09-30,763.6110000000001,2.3525656264848833,0.0472501485389939,1085.046,10.71963,0.04859169246673612,1.3818672259770743,0.21721866333625584,0.33365880653335384,-0.13963679650737337,0
2004-12-31,786.299,2.426810850565312,0.04624103105853034,1107.05,10.699293333333335,0.07117722437847634,5.679656468574243,0.22624909650219321,0.27069417775251636,-0.14679567630844803,0
2005-03-31,815.285,2.5184889908745998,0.04644817778167932,1109.964,9.317673333333333,0.05055345918499224,-0.0868846638715935,0.24240065816813133,0.2805586580574169,-0.1577208439951857,0
2005-06-30,843.801,2.6087550392949517,0.04606307595435391,1137.9180000000001,9.211413333333335,0.08723373213735625,3.81485094535402,0.24717954646495727,0.22815296393169954,-0.16125703077849052,0
2005-09-30,875.5930000000001,2.6893521094357924,0.04641861617299584,1151.8139999999999,7.933283333333333,0.0777265600263592,-0.11987486000989349,0.24864694764509937,0.2582424367270309,-0.16195797527355393,0
2005-12-31,890.206,2.7657950619833644,0.049329442549417984,1114.745,6.431616666666667,0.007134146767091376,-0.13691094986641142,0.2393124280756932,0.21978097092111096,-0.15329708733839276,0
2006-03-31,896.2180000000001,2.8241272941953897,0.04945786041362848,1154.128,6.5821266666666665,0.046239749338526454,-0.12530761303879584,0.19345794349350243,0.14514277284474356,-0.12065786135568002,0
2006-06-30,859.3389999999999,2.834510020738762,0.05162463309917926,1149.249,9.568430000000001,0.010336176810432219,0.04486539495961621,0.12040795000473811,0.01973276011800768,-0.061391314570079625,1
2006-09-30,814.7180000000001,2.816394165523619,0.05136968767668663,1160.532,10.333350000000001,0.007786496316093807,0.9898852231679075,0.05648294091161021,-0.0545024084999579,-0.004839882440989984,1
2006-12-31,782.3810000000001,2.82915434132,0.049438848131459746,1169.422,13.551763333333334,0.05905489786836636,65.07950650739251,0.024968786451628564,-0.08078803128550874,0.02387395792270408,1
2007-03-31,750.8889999999999,2.8410467224646343,0.049258013029889115,1179.022,9.239156666666666,0.023391034457497885,1.9696533370340765,0.006126872925898365,-0.09609044816429593,0.04286849031132833,1
